ticker,timeframe,signal_date,divergence_type,signal_close,entry_date,entry_price,first_peak_price,second_peak_price,first_peak_rsi,second_peak_rsi
CSCO,1d,2024-11-13,Bearish,59.18,2024-11-14,57.92,56.76,59.18,82.20151923757018,78.21470571800543
CSX,1d,2025-04-08,Bullish,26.69,2025-04-09,28.66,29.13,26.69,22.947280093783988,23.679990244865607
CTAS,1d,2023-12-27,Bearish,151.55251,2023-12-28,150.27251,143.72501,151.55251,77.3132387910465,76.40190880157853
CTAS,3d,2025-10-30,Bullish,183.27,2025-11-02,184.11,187.96001,183.27,23.264617516121874,24.970518303953426
CTAS,1w,2024-05-12,Bearish,175.067505,2024-05-19,173.035004,171.75751,175.067505,80.10798519947855,75.67363229922881
CTVA,3d,2022-04-13,Bearish,61.0099983,2022-04-16,60.95,59.79,61.0099983,80.8567792109538,75.03787526976265
DAL,1d,2024-10-16,Bearish,56.31,2024-10-17,55.26,51.81,56.31,85.356456135067,76.38134869001487
DAL,1d,2023-10-27,Bullish,30.65,2023-10-30,31.23,35.24,30.65,20.358202445848306,21.421389914319818
DAL,1d,2025-04-08,Bullish,35.88,2025-04-09,44.27,43.92,35.88,19.034221407308635,21.454584470652392
DD,1d,2022-11-23,Bearish,30.046024,2022-11-25,29.81171,29.62761,30.046024,82.59017115771618,78.580013656651
DDOG,1d,2021-08-13,Bearish,135.49001,2021-08-16,133.52,132.47,135.49001,86.8577230904791,77.1031497058206
DDOG,1d,2024-12-06,Bearish,168.64999,2024-12-09,161.19,156.63,168.64999,77.72948793367395,77.15411516827558
DGX,1d,2021-09-08,Bearish,158.0,2021-09-09,157.35001,152.28,158.0,84.79880739954649,77.77934096095694
DHR,1d,2021-09-03,Bearish,294.70746,2021-09-07,292.55319,285.053192,294.70746,78.21984497566163,76.09735833799462
DLR,3d,2024-11-28,Bearish,195.69,2024-12-01,191.070007,183.31,195.69,78.85577207508031,76.24301937405946
DLTR,3d,2024-03-03,Bearish,149.080002,2024-03-06,147.91,142.53999,149.080002,76.70198695139797,75.27530504484957
DLTR,1w,2024-11-10,Bullish,61.41,2024-11-17,64.2,66.5,61.41,16.386632228484643,19.853037146695556
DOW,1d,2022-07-14,Bullish,48.9,2022-07-15,49.55,51.060001,48.9,13.963256410800128,23.471935523491467
DOW,1w,2025-08-10,Bullish,21.22,2025-08-17,23.36,28.15,21.22,17.555858205589956,24.69978997788438
DUK,3d,2024-09-14,Bearish,117.7,2024-09-17,115.14,113.92,117.7,78.92203203112199,75.8212419491682
